,Unnamed: 0,Setor,Subsetor,Produto,Quantidade (Kg) - jan. /2020,Valor (US$) - jan. / 2020,Quantidade (Kg) - fev. / 2020,Valor (US$) - fev. / 2020,Quantidade (Kg) mar. / 2020,Valor (US$) mar. / 2020,Quantidade (Kg) abr. / 2020,Valor (US$) abr. / 2020,Quantidade (Kg) mai. / 2020,Valor (US$) mai. / 2020,Quantidade (Kg) jun. / 2020,Valor (US$) jun. / 2020,Quantidade (Kg) jul. / 2020,Valor (US$) jul. / 2020,Quantidade (Kg) ago. / 2020,Valor (US$) ago. / 2020,Quantidade (Kg) set. / 2020,Valor (US$) set. / 2020,Quantidade (Kg) out. / 2020,Valor (US$) out. / 2020,Quantidade (Kg) nov. / 2020,Valor (US$) nov. / 2020,Quantidade (Kg) dez. / 2020 ,Valor (US$) dez. / 2020
0,0,ANIMAIS VIVOS (EXCETO PESCADOS),ABELHAS VIVAS,ABELHAS VIVAS,,,,,39,175,,,128,223,20,29,48,123,133,121,,,111,522,,,,
1,1,ANIMAIS VIVOS (EXCETO PESCADOS),BOVINOS E BUBALINOS VIVOS,BOVINOS VIVOS,6.108.359,12.411.243,1.115.344,2.018.844,10.964.040,20.949.724,13.170.417,28.540.355,7.360.390,12.604.966,13.209.740,24.768.040,9.692.010,15.731.013,6.569.839,13.792.979,26.563.953,55.651.282,5.666.628,9.934.445,6.474.890,13.324.273,3.498.789,7.425.237
2,2,ANIMAIS VIVOS (EXCETO PESCADOS),BOVINOS E BUBALINOS VIVOS,BUBALINOS VIVOS,,,,,,,,,82,332,,,20,135,11,50,,,,,20,122,,
3,3,ANIMAIS VIVOS (EXCETO PESCADOS),"CAVALOS, ASININOS E MUARES VIVOS",ASININOS E MUARES VIVOS,,,3,13,,,,,1,6,,,,,,,,,,,,,,
4,4,ANIMAIS VIVOS (EXCETO PESCADOS),"CAVALOS, ASININOS E MUARES VIVOS",CAVALOS VIVOS,8.401,475.554,10.859,421.359,3.908,1.047.410,8.700,232.872,2.208,22.865,16.607,268.934,10.809,652.595,12.710,78.856,22.050,417.964,15.950,1.088.995,15.990,154.725,15.334,187.767
5,5,ANIMAIS VIVOS (EXCETO PESCADOS),GALOS E GALINHAS VIVOS,GALOS E GALINHAS VIVOS,72.741,4.313.370,141.923,6.400.381,86.101,8.454.359,69.956,5.669.470,89.528,6.413.944,101.960,5.626.166,115.401,7.682.363,117.243,5.542.673,115.144,8.224.546,119.762,5.608.510,100.394,7.940.759,99.828,6.014.825
6,6,ANIMAIS VIVOS (EXCETO PESCADOS),OUTROS ANIMAIS VIVOS,OUTROS ANIMAIS VIVOS,122,748,70,727,178,15.924,149,6.434,41,573,0,54,87,1.963,362,9.137,244,11.189,165,5.946,407,21.091,190,15.905
7,7,ANIMAIS VIVOS (EXCETO PESCADOS),"PSITACIFORMES (INCL.OS PAPAGAIOS,AS ARARAS,ETC) VIVOS","PSITACIFORMES (INCL.OS PAPAGAIOS,AS ARARAS,ETC) VIVOS",,,,,10,57.140,,,,,,,,,,,,,,,,,,
8,8,ANIMAIS VIVOS (EXCETO PESCADOS),R�PTEIS VIVOS,R�PTEIS VIVOS,,,,,32,15.556,,,,,32,13.886,19,9.806,36,12.078,,,36,16.583,90,31.000,,
9,9,ANIMAIS VIVOS (EXCETO PESCADOS),SU�NOS VIVOS,SU�NOS VIVOS,15,69,,,44.059,636.392,63.710,521.453,,,18.620,323.543,,,4.540,33.274,61.855,689.578,10.845,169.081,76.140,1.293.811,12.100,184.646
10,10,BEBIDAS,BEBIDAS ALC�OLICAS,CACHA�A,528.890,617.932,498.861,946.457,409.382,1.030.548,382.066,604.319,474.348,708.846,617.828,661.938,327.150,683.368,724.422,1.181.023,491.956,686.680,489.862,864.081,410.930,792.610,333.722,744.600
11,11,BEBIDAS,BEBIDAS ALC�OLICAS,CERVEJA,20.044.429,11.073.275,18.502.549,9.115.274,18.103.922,9.087.597,9.904.967,4.790.767,6.114.022,3.308.712,6.468.900,3.815.914,9.312.543,5.304.601,9.308.591,5.182.242,12.300.655,6.843.948,18.701.630,9.569.552,21.403.506,11.134.783,24.264.056,13.554.661
12,12,BEBIDAS,BEBIDAS ALC�OLICAS,OUTRAS BEBIDAS ALC�OLICAS,1.488.269,1.356.446,1.029.574,1.159.503,1.811.169,2.023.226,1.226.949,1.115.645,1.110.867,764.853,1.056.653,1.270.017,1.144.349,1.046.407,2.087.193,1.778.253,1.933.759,1.880.317,2.272.950,2.317.944,2.450.014,2.544.644,3.258.130,2.995.709
13,13,BEBIDAS,BEBIDAS ALC�OLICAS,U�SQUE,65.742,192.978,72.273,237.706,31.465,75.568,33.463,127.949,1.341,9.963,26.449,104.829,142.283,448.150,75.139,186.340,90.146,332.466,63.200,213.956,57.875,126.136,65.774,256.875
14,14,BEBIDAS,BEBIDAS ALC�OLICAS,VINHO,222.475,537.915,221.089,420.529,211.958,406.732,253.225,496.197,264.935,438.266,520.885,816.833,852.680,1.140.223,695.947,910.459,788.644,1.144.213,465.482,741.199,317.308,532.486,495.523,833.313
15,15,BEBIDAS,BEBIDAS ALC�OLICAS,VODKA,27.513,35.529,36.198,82.319,56.724,94.588,28.864,38.728,28.940,22.573,71.322,89.528,52.437,46.174,91.472,120.906,81.773,156.953,45.840,58.687,83.550,89.196,86.839,145.652
16,16,BEBIDAS,BEBIDAS N�O ALCO�LICAS,OUTRAS BEBIDAS N�O ALCO�LICAS,926.763,430.593,763.987,386.161,1.724.678,664.262,1.201.027,521.945,1.311.106,458.135,899.605,325.997,889.764,398.467,1.046.043,414.108,1.384.373,800.301,1.412.717,793.192,1.131.121,593.112,1.384.481,793.963
17,17,BEBIDAS,BEBIDAS N�O ALCO�LICAS,REFRIGERANTE,2.843.338,997.864,2.134.348,689.304,2.280.678,868.659,1.953.289,814.303,1.797.591,694.283,2.549.753,857.098,1.856.136,733.900,2.456.199,1.079.877,3.721.008,1.501.213,3.236.084,1.181.549,3.523.559,1.166.188,3.827.181,1.369.623
