Setor	Subsetor	Produto	Especificação NCM	Quantidade (Kg) - jan./2021	Valor (US$) - jan./2021	Quantidade (Kg) - fev./2021	Valor (US$) - fev./2021	Quantidade (Kg) - mar./2021	Valor (US$) - mar./2021	Quantidade (Kg) - abr./2021	Valor (US$) - abr./2021	Quantidade (Kg) - mai./2021	Valor (US$) - mai./2021	Quantidade (Kg) - jun./2021	Valor (US$) - jun./2021	Quantidade (Kg) - jul./2021	Valor (US$) - jul./2021	Quantidade (Kg) - ago./2021	Valor (US$) - ago./2021	Quantidade (Kg) - set./2021	Valor (US$) - set./2021	Quantidade (Kg) - out./2021	Valor (US$) - out./2021	Quantidade (Kg) - nov./2021	Valor (US$) - nov./2021	Quantidade (Kg) - dez./2021	Valor (US$) - dez./2021	Quantidade (Kg) - jan./2022	Valor (US$) - jan./2022
CAFÉ	CAFÉ VERDE E CAFÉ TORRADO	CAFÉ TORRADO	09012100 - CAFE TORRADO,NAO DESCAFEINADO	445.633	1.852.048	723.659	2.390.054	544.891	2.297.905	368.960	1.766.545	514.211	2.389.724	614.258	2.706.935	457.434	2.371.298	498.670	2.806.313	394.395	2.333.452	306.939	2.166.216	288.137	2.442.294	342.411	2.730.025	261.399	1.768.298
CAFÉ	CAFÉ VERDE E CAFÉ TORRADO	CAFÉ TORRADO	09012200 - CAFE TORRADO,DESCAFEINADO	3.816	31.666	1.238	11.068	1.520	9.430	2.646	16.616	2.835	29.881	1.725	11.655	2.522	16.848	1.201	11.322	2.277	21.114	2.003	18.587	988	7.657	2.668	24.549	73	1.061
CAFÉ	CAFÉ VERDE E CAFÉ TORRADO	CAFÉ VERDE	09011110 - CAFE NAO TORRADO,NAO DESCAFEINADO,EM GRAO	221.965.485	466.534.434	191.071.095	413.439.733	241.586.366	535.786.005	207.151.549	464.836.986	190.099.182	432.740.284	174.256.268	408.235.998	142.861.626	334.840.426	172.421.668	428.698.610	169.587.727	470.263.860	188.709.950	557.836.003	175.084.878	570.328.764	207.639.849	720.026.763	178.050.994	659.388.773
CAFÉ	CAFÉ VERDE E CAFÉ TORRADO	CAFÉ VERDE	09011190 - CAFE NAO TORRADO,NAO DESCAFEINADO,EXCETO EM GRAO	852	5.579	26.820	96.155	19.534	55.545	18.531	86.229	19.134	60.029	40.860	79.129	53.250	112.439	2.859	13.426	188	1.913	133.099	502.133	19.534	87.963	691	4.408	397	3.341
CAFÉ	CAFÉ VERDE E CAFÉ TORRADO	CAFÉ VERDE	09011200 - CAFE NAO TORRADO,DESCAFEINADO			1.500	9.150	6	665			1	13							504	2.241	4	35			30	338		
CAFÉ	EXTRATOS DE CAFÉ E SUCEDÂNEOS DO CAFÉ	CAFÉ SOLÚVEL	21011110 - CAFE SOLUVEL,MESMO DESCAFEINADO	7.325.210	39.487.153	6.416.314	35.494.792	7.063.882	37.641.673	7.637.401	41.581.816	6.456.125	35.339.750	6.841.104	39.126.129	5.707.248	32.791.438	7.612.045	41.356.512	7.867.584	43.943.388	7.528.938	43.029.327	6.875.300	40.667.812	10.867.012	62.336.533	8.533.205	54.104.629
CAFÉ	EXTRATOS DE CAFÉ E SUCEDÂNEOS DO CAFÉ	EXTRATOS, ESSÊNCIAS E CONCENTRADOS DE CAFÉ	21011190 - OUTROS EXTRATOS,ESSENCIAS E CONCENTRADOS,DE CAFE	62.065	353.792	105.309	359.367	438.308	1.688.737	181.108	1.082.095	183.092	1.122.128	261.866	1.287.541	196.340	1.299.854	621.803	2.760.982	218.948	1.079.559	193.854	1.228.273	353.730	1.798.404	118.516	1.276.180	202.566	1.541.868
CAFÉ	EXTRATOS DE CAFÉ E SUCEDÂNEOS DO CAFÉ	EXTRATOS, ESSÊNCIAS E CONCENTRADOS DE CAFÉ	21011200 - PREPARS.A BASE DE EXTRATOS,ESSENCIAS,CONCENTRAD.DE CAFE	403.458	1.610.094	595.302	2.075.274	521.760	2.185.452	598.711	2.294.006	713.463	2.879.777	819.239	3.010.742	709.381	2.972.736	911.129	3.673.378	502.562	2.166.945	455.658	2.268.201	541.876	2.561.778	924.665	4.388.169	605.951	2.733.497
CAFÉ	EXTRATOS DE CAFÉ E SUCEDÂNEOS DO CAFÉ	RESÍDUOS DO CAFÉ	09019000 - CASCAS,PELICULAS DE CAFE E SUCEDANEOS DO CAFE	3.412	9.455	150	1.672	360	4.288	321	2.109	29.145	63.904	425	2.833	990	2.182	1.566	8.453	325	1.879	354	1.876	697	7.020	512	2.477	620	3.189
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	ARROZ	10061091 - ARROZ ('PADDY') COM CASCA,PARBOILIZADO (ESTUFADO)	25	40	65	147	276	916	130	336	500	1.190	1.000	1.927	544	1.821	910	2.841	500	908	60	82			25	23	270	507
